hora,Agresividad,Enfado,Disgusto,Miedo,Odio,Ironia,Diversion,Tristeza,Sorpresa,Dirigido
0,0.058523141534934736,0.2083633380517532,0.06231820216304056,0.016005204460113904,0.1078790265777758,0.08116816636971506,0.13607476090105117,0.020386665033634125,0.04399169316065718,0.014243389049480654
1,0.05513767647143035,0.1992965877492679,0.05681062903200246,0.01391686831436037,0.10599493246732483,0.06858368684811969,0.07972756022192896,0.032018102158973355,0.030620391566965995,0.014672828216053911
2,0.055895305322879445,0.21638450056622222,0.05591282343440511,0.017990218329787002,0.105841648551893,0.08024766885131261,0.09640027839533158,0.03146445325004834,0.033853089220158,0.013446074638000464
3,0.05568834392413973,0.201025459796731,0.05708048721388609,0.018777365315209786,0.08906702563286785,0.04499054075936473,0.08531542442956815,0.028826490161760154,0.031450767146663755,0.022969584380306496
4,0.05398600243130008,0.18458753348554874,0.05570728351196613,0.013752523052665406,0.10256520112682325,0.06408754252256343,0.12405841839315954,0.014229025703082793,0.024484272381462304,0.01164307902248473
5,0.04560169245952006,0.1687308330289776,0.05455623526458686,0.015413329236202363,0.08694332067573507,0.07039347307728995,0.12430406495234755,0.018090459786238786,0.032647419508498685,0.01251259736160342
6,0.0479033020654452,0.15959964702432483,0.04621236298196705,0.01425849693173183,0.0911681960572334,0.07245328879392891,0.11989576468199842,0.015129954178826498,0.026983698170057656,0.01498102693361291
7,0.046332168710333334,0.15661526413789664,0.04361510171640839,0.01719797182737031,0.08684194831947772,0.0726192674033986,0.13520320148373333,0.019729028319867548,0.028561542491200458,0.016330713174398666
8,0.04546956648910324,0.1524989587513788,0.04178670644694415,0.014578954949100545,0.08483809872271729,0.07772704876710339,0.13950335181908435,0.016211295002626924,0.03032404427551627,0.01550652717423547
9,0.0480917258155807,0.15885558360420324,0.04344955410931469,0.014238000660450096,0.08714229312718179,0.06083243988184751,0.11900292151843392,0.01815015185312519,0.029043883377897678,0.01701019741600772
10,0.0498634807704042,0.1547454109756674,0.04448230080306862,0.016346238070346488,0.08931273019886614,0.08027347533497516,0.11617310683370168,0.016948789528601876,0.03655336717417442,0.01989653548850949
11,0.042855530633954836,0.1545706868135029,0.04504172020306823,0.014416698264480606,0.0791126064201988,0.07121338655399198,0.10493521585284775,0.014311759893329822,0.03549482782471564,0.015766101162847282
12,0.047048227781745486,0.17357293497815102,0.04823252221071235,0.014641122943046729,0.08901132992280887,0.09581527203031531,0.1143211342491834,0.01863862683916414,0.035573315290152556,0.014750044060868646
13,0.050816055906852294,0.17690657814671143,0.04991463800819223,0.016240909129251562,0.09404333195968732,0.0866264824812608,0.1260048863591049,0.01870366263390438,0.0329674084575966,0.017973750765569525
14,0.05398265398443373,0.18503038900909047,0.05044703972512306,0.016053341318127162,0.09893229811273174,0.09184382735502482,0.11715620817551373,0.019646597314326907,0.03543326307394896,0.01988234374569421
15,0.049544893619162,0.15538131481385534,0.04425624118301256,0.014804863135085175,0.0888514021689111,0.06959904946595176,0.11092598261659457,0.019299980875410558,0.03270023850937848,0.01716005602467225
16,0.04886201364039387,0.17071871062138988,0.049869913199529235,0.01643374302565634,0.08857737569540954,0.0776248425061427,0.11725991477442717,0.019695418971060173,0.032832975544618746,0.019217922315240242
17,0.04801309315942259,0.16678746749742207,0.05059540106571416,0.01877917230325146,0.08666759816947518,0.07985540313683703,0.1266570822991461,0.018155917415719355,0.035026444607988455,0.015074505648300034
18,0.04587335959591104,0.16273103279116605,0.045626212227225335,0.016222444575235622,0.08302250697357473,0.07990183857959861,0.1350752080629288,0.01711584845567803,0.03469442554068907,0.01635915197552023
19,0.046294922181348355,0.16195788002249165,0.04653887092170006,0.015427292727302233,0.08670226748798612,0.08412646059607938,0.128966393340981,0.021618231028587932,0.03691624931377176,0.015250841749585492
20,0.0503240811610701,0.16043939984792935,0.04414018698781992,0.016514840222367884,0.09436427824349064,0.10043670463018135,0.14981528196711325,0.02516102378892215,0.04423103496798941,0.022051985163519902
21,0.04786917466583335,0.15531845008920875,0.04251940639420718,0.016163750859890098,0.0846788976064031,0.09378042243263822,0.15654111054764439,0.0235086770743201,0.040564820235112986,0.020052717451344623
22,0.048389228650162194,0.1807085096379101,0.047918950366212326,0.01852576016320591,0.08780857884936442,0.09085264225482494,0.14713432757089223,0.032640856522815724,0.04021992394430265,0.016575261832138935
23,0.04440692888880235,0.18584717417433086,0.053863098776449396,0.020492186014612782,0.0795239374810124,0.06777662764518766,0.1311923470972015,0.03181284899897959,0.04004889562255834,0.01371932611936355
